,Name,Algeria,Angola,Argentina,Australia,Bahamas,Barbados,Bermuda,Brazil,Canada,Cayman Islands,Chile,China,Colombia,Comoros,Costa Rica,Croatia,Cuba,Cyprus,Dominican Republic,Ecuador,Egypt,El Salvador,Fiji,France,Gabon,Georgia,Ghana,Greece,Grenada,Guinea,Guyana,Haiti,Honduras,Hong Kong,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Israel,Italy,Jamaica,Japan,Kenya,Kiribati,"Korea, Republic of",Kuwait,Lebanon,Liberia,Libya,Madagascar,Malaysia,Maldives,Malta,Marshall Islands,Mauritius,Mayotte,Mexico,Montenegro,Mozambique,New Caledonia,New Zealand,Nicaragua,Nigeria,Northern Mariana Islands,Norway,Palau,Panama,Papua New Guinea,Peru,Philippines,Portugal,Russian Federation,Samoa,Saudi Arabia,Senegal,Seychelles,Sierra Leone,Singapore,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,"Taiwan, Province of China","Tanzania, United Republic of",Thailand,Tonga,Trinidad and Tobago,Tunisia,Turkey,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United States of America,Uruguay,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Virgin Islands (British),Yemen
0,bathing,0.0,0.0,0.0,67.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,13.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,2.0,14.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,27.0,0.0,1.0,1.0,1.0,0.0,0.0
1,diving,0.0,0.0,0.0,154.0,21.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,4.0,0.0,2.0,0.0,1.0,1.0,9.0,0.0,12.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,5.0,5.0,0.0,0.0,6.0,1.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,1.0,2.0,4.0,9.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,2.0,7.0,0.0,29.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,145.0,0.0,0.0,1.0,0.0,1.0,4.0
2,fishing,0.0,0.0,0.0,174.0,7.0,1.0,2.0,5.0,5.0,0.0,1.0,3.0,2.0,1.0,1.0,5.0,4.0,0.0,1.0,1.0,2.0,2.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,2.0,20.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,4.0,3.0,1.0,10.0,1.0,6.0,5.0,23.0,0.0,0.0,0.0,0.0,1.0,2.0,31.0,0.0,4.0,5.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,8.0,1.0,77.0,6.0,2.0,4.0,1.0,0.0,4.0,1.0,0.0,6.0,2.0,17.0,239.0,0.0,0.0,0.0,2.0,0.0,0.0
3,floating,0.0,0.0,1.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
4,kayaking,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
5,murder,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,paddling,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0
7,playing,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
8,surfing,0.0,2.0,0.0,251.0,2.0,0.0,0.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,116.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,719.0,1.0,0.0,3.0,0.0,0.0,0.0
9,swimming,1.0,0.0,0.0,227.0,6.0,1.0,1.0,37.0,1.0,0.0,2.0,3.0,2.0,0.0,8.0,15.0,11.0,1.0,1.0,0.0,8.0,0.0,6.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,15.0,4.0,4.0,6.0,4.0,0.0,2.0,13.0,3.0,7.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,2.0,3.0,0.0,27.0,1.0,22.0,7.0,25.0,1.0,0.0,1.0,0.0,0.0,6.0,20.0,1.0,11.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,12.0,2.0,104.0,16.0,2.0,3.0,6.0,3.0,6.0,1.0,0.0,3.0,0.0,5.0,411.0,0.0,5.0,1.0,4.0,0.0,2.0
10,wading,0.0,0.0,0.0,23.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0
